Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Wed, Mar 13, 2024",10:00p,Atlanta Hawks,102,Portland Trail Blazers,106,Box Score,,"18,064",Moda Center,
"Wed, Mar 13, 2024",10:00p,Los Angeles Lakers,107,Sacramento Kings,120,Box Score,,"18,332",Golden 1 Center,
"Thu, Mar 14, 2024",7:30p,Phoenix Suns,112,Boston Celtics,127,Box Score,,"19,156",TD Garden,
"Thu, Mar 14, 2024",8:00p,Los Angeles Clippers,126,Chicago Bulls,111,Box Score,,"21,219",United Center,
"Thu, Mar 14, 2024",8:00p,Washington Wizards,119,Houston Rockets,135,Box Score,,"18,055",Toyota Center,
"Thu, Mar 14, 2024",8:00p,Philadelphia 76ers,105,Milwaukee Bucks,114,Box Score,,"17,635",Fiserv Forum,
"Thu, Mar 14, 2024",10:00p,Dallas Mavericks,119,Oklahoma City Thunder,126,Box Score,,"18,203",Paycom Center,
"Thu, Mar 14, 2024",10:00p,New York Knicks,105,Portland Trail Blazers,93,Box Score,,"17,768",Moda Center,
"Fri, Mar 15, 2024",7:00p,Phoenix Suns,107,Charlotte Hornets,96,Box Score,,"18,613",Spectrum Center,
"Fri, Mar 15, 2024",7:00p,Miami Heat,108,Detroit Pistons,95,Box Score,,"19,894",Little Caesars Arena,
"Fri, Mar 15, 2024",7:30p,Orlando Magic,113,Toronto Raptors,103,Box Score,,"19,8",Scotiabank Arena,
"Fri, Mar 15, 2024",8:00p,Los Angeles Clippers,104,New Orleans Pelicans,112,Box Score,,"18,865",Smoothie King Center,
"Fri, Mar 15, 2024",8:30p,Denver Nuggets,117,San Antonio Spurs,106,Box Score,,"16,223",Moody Center,
"Fri, Mar 15, 2024",9:30p,Atlanta Hawks,122,Utah Jazz,124,Box Score,,"18,206",Delta Center,
"Sat, Mar 16, 2024",5:00p,Cleveland Cavaliers,103,Houston Rockets,117,Box Score,,"18,055",Toyota Center,
"Sat, Mar 16, 2024",7:00p,Brooklyn Nets,100,Indiana Pacers,121,Box Score,,"17,009",Gainbridge Fieldhouse,
"Sat, Mar 16, 2024",7:00p,Portland Trail Blazers,107,New Orleans Pelicans,126,Box Score,,"17,725",Smoothie King Center,
"Sat, Mar 16, 2024",7:00p,Charlotte Hornets,98,Philadelphia 76ers,109,Box Score,,"19,957",Wells Fargo Center,
