Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
"Tue, Dec 12, 2023",10:30p,Sacramento Kings,99,Los Angeles Clippers,119,Box Score,,"17,06",Crypto.com Arena,
"Wed, Dec 13, 2023",7:00p,Philadelphia 76ers,129,Detroit Pistons,111,Box Score,,"16,749",Little Caesars Arena,
"Wed, Dec 13, 2023",7:00p,New Orleans Pelicans,142,Washington Wizards,122,Box Score,,"14,08",Capital One Arena,
"Wed, Dec 13, 2023",7:30p,Charlotte Hornets,104,Miami Heat,115,Box Score,,"19,6",Kaseya Center,
"Wed, Dec 13, 2023",7:30p,Atlanta Hawks,128,Toronto Raptors,135,Box Score,,"19,423",Scotiabank Arena,
"Wed, Dec 13, 2023",8:00p,Memphis Grizzlies,104,Houston Rockets,117,Box Score,,"16,813",Toyota Center,
"Wed, Dec 13, 2023",8:00p,Indiana Pacers,126,Milwaukee Bucks,140,Box Score,,"17,431",Fiserv Forum,
"Wed, Dec 13, 2023",8:00p,Los Angeles Lakers,122,San Antonio Spurs,119,Box Score,,"18,354",Frost Bank Center,
"Wed, Dec 13, 2023",9:00p,Brooklyn Nets,116,Phoenix Suns,112,Box Score,,"17,071",Footprint Center,
"Wed, Dec 13, 2023",9:00p,New York Knicks,113,Utah Jazz,117,Box Score,,"18,206",Delta Center,
"Thu, Dec 14, 2023",7:30p,Cleveland Cavaliers,107,Boston Celtics,116,Box Score,,"19,156",TD Garden,
"Thu, Dec 14, 2023",7:30p,Chicago Bulls,124,Miami Heat,116,Box Score,,"19,653",Kaseya Center,
"Thu, Dec 14, 2023",8:30p,Minnesota Timberwolves,119,Dallas Mavericks,101,Box Score,,"20,177",American Airlines Center,
"Thu, Dec 14, 2023",9:00p,Brooklyn Nets,101,Denver Nuggets,124,Box Score,,"19,636",Ball Arena,
"Thu, Dec 14, 2023",10:00p,Utah Jazz,122,Portland Trail Blazers,114,Box Score,,"17,842",Moda Center,
"Thu, Dec 14, 2023",10:00p,Oklahoma City Thunder,123,Sacramento Kings,128,Box Score,,"17,794",Golden 1 Center,
"Thu, Dec 14, 2023",10:30p,Golden State Warriors,113,Los Angeles Clippers,121,Box Score,,"19,37",Crypto.com Arena,
"Fri, Dec 15, 2023",7:00p,New Orleans Pelicans,112,Charlotte Hornets,107,Box Score,,"16,08",Spectrum Center,
"Fri, Dec 15, 2023",7:00p,Detroit Pistons,92,Philadelphia 76ers,124,Box Score,,"19,761",Wells Fargo Center,
"Fri, Dec 15, 2023",7:00p,Indiana Pacers,123,Washington Wizards,137,Box Score,,"15,208",Capital One Arena,
"Fri, Dec 15, 2023",7:30p,Orlando Magic,111,Boston Celtics,128,Box Score,,"19,156",TD Garden,
"Fri, Dec 15, 2023",7:30p,Los Angeles Lakers,115,San Antonio Spurs,129,Box Score,,"18,354",Frost Bank Center,
"Fri, Dec 15, 2023",7:30p,Atlanta Hawks,125,Toronto Raptors,104,Box Score,,"19,8",Scotiabank Arena,
"Fri, Dec 15, 2023",8:00p,Houston Rockets,103,Memphis Grizzlies,96,Box Score,,"16,941",FedEx Forum,
"Fri, Dec 15, 2023",10:00p,New York Knicks,139,Phoenix Suns,122,Box Score,,"17,071",Footprint Center,
"Sat, Dec 16, 2023",6:00p,Detroit Pistons,114,Milwaukee Bucks,146,Box Score,,"17,666",Fiserv Forum,
"Sat, Dec 16, 2023",7:00p,Philadelphia 76ers,135,Charlotte Hornets,82,Box Score,,"17,829",Spectrum Center,
"Sat, Dec 16, 2023",7:30p,Atlanta Hawks,119,Cleveland Cavaliers,127,Box Score,,"19,432",Rocket Mortgage Fieldhouse,
"Sat, Dec 16, 2023",8:00p,Chicago Bulls,116,Miami Heat,118,Box Score,,"19,815",Kaseya Center,
"Sat, Dec 16, 2023",8:00p,Indiana Pacers,109,Minnesota Timberwolves,127,Box Score,,"18,024",Target Center,
"Sat, Dec 16, 2023",8:30p,Brooklyn Nets,120,Golden State Warriors,124,Box Score,,"18,064",Chase Center,
"Sat, Dec 16, 2023",9:00p,Oklahoma City Thunder,118,Denver Nuggets,117,Box Score,,"19,611",Ball Arena,
"Sat, Dec 16, 2023",9:00p,Dallas Mavericks,131,Portland Trail Blazers,120,Box Score,,"18,439",Moda Center,
"Sat, Dec 16, 2023",10:00p,Utah Jazz,104,Sacramento Kings,125,Box Score,,"17,794",Golden 1 Center,
"Sat, Dec 16, 2023",10:30p,New York Knicks,122,Los Angeles Clippers,144,Box Score,,"19,37",Crypto.com Arena,
"Sun, Dec 17, 2023",3:00p,Orlando Magic,97,Boston Celtics,114,Box Score,,"19,156",TD Garden,
"Sun, Dec 17, 2023",3:30p,New Orleans Pelicans,146,San Antonio Spurs,110,Box Score,,"18,354",Frost Bank Center,
"Sun, Dec 17, 2023",7:00p,Houston Rockets,119,Milwaukee Bucks,128,Box Score,,"17,341",Fiserv Forum,
"Sun, Dec 17, 2023",8:00p,Washington Wizards,108,Phoenix Suns,112,Box Score,,"17,071",Footprint Center,
"Sun, Dec 17, 2023",9:00p,Golden State Warriors,118,Portland Trail Blazers,114,Box Score,,"18,547",Moda Center,
"Mon, Dec 18, 2023",7:00p,Houston Rockets,130,Cleveland Cavaliers,135,Box Score,OT,"19,432",Rocket Mortgage Fieldhouse,
"Mon, Dec 18, 2023",7:00p,Los Angeles Clippers,151,Indiana Pacers,127,Box Score,,"16,665",Gainbridge Fieldhouse,
"Mon, Dec 18, 2023",7:00p,Chicago Bulls,108,Philadelphia 76ers,104,Box Score,,"19,773",Wells Fargo Center,
"Mon, Dec 18, 2023",7:30p,Detroit Pistons,124,Atlanta Hawks,130,Box Score,,"17,664",State Farm Arena,
